secid,name,kind
1.000001,上证指数,index
0.399001,深证成指,index
0.399006,创业板指,index
1.000688,科创50,index
1.000300,沪深300,index
1.000905,中证500,index
1.000852,中证1000,index
1.512760,芯片ETF,etf
1.512480,半导体ETF,etf
1.588200,科创芯片ETF,etf
1.515880,通信ETF,etf
1.515980,人工智能ETF,etf
1.516820,机器人ETF,etf
1.512170,医疗ETF,etf
1.512880,证券ETF,etf
1.512690,酒ETF,etf
1.515030,新能源车ETF,etf
1.515790,光伏ETF,etf
1.516510,云计算ETF,etf
1.515400,大数据ETF,etf
1.512400,有色金属ETF,etf
1.515220,煤炭ETF,etf
1.510300,沪深300ETF,etf
1.518880,黄金ETF,etf
1.510880,红利ETF,etf
1.512660,军工ETF,etf
